[2026-09-08T12:51:33.856Z] 192.168.137.247 "GET /case-nav.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:38.409Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:39.519Z] 192.168.137.247 "GET /case-nav.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:40.539Z] 192.168.40.90 "GET /case-nav.html?case=N7&v=upper" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:01.113Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:01.913Z] 192.168.137.247 "GET /case-sub.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:03.256Z] 192.168.40.90 "WS-UPGRADE /ws" UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36
[2026-09-08T12:52:10.460Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:11.398Z] 192.168.137.247 "GET /ab.html?mode=A" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:12.494Z] 192.168.137.247 "GET /api/observe?case=A&result=P1:ERR|P2:ERR&note=mode%3DA%7Cpad%3D0" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=A result=P1:ERR|P2:ERR
[2026-09-08T12:52:19.720Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:32.213Z] 192.168.137.247 "GET /ab.html?mode=B" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:33.468Z] 192.168.137.247 "GET /api/observe?case=B&result=P1:ERR|P2:ERR&note=mode%3DB%7Cpad%3D0" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=B result=P1:ERR|P2:ERR
[2026-09-08T12:52:38.341Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:39.281Z] 192.168.137.247 "GET /ab.html?mode=A&pad=8" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:52:40.279Z] 192.168.137.247 "GET /api/observe?case=A&result=P1:ERR|P2:ERR&note=mode%3DA%7Cpad%3D8%20(%E6%9C%AC%E9%A1%B5%E7%94%B1%E6%9C%8D%E5%8A%A1%E5%99%A8%E6%B3%A8%E5%85%A5%E7%BA%A6%208MB%20%E5%86%85%E8%81%94%E6%B3%A8%E9%87%8A%2C%E5%A4%8D%E5%88%BB%E5%A4%A7%E6%96%87%E6%A1%A3%E6%9D%A1%E4%BB%B6)" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=A result=P1:ERR|P2:ERR
